caminho;bytes;sha256;mtime_utc;dt_captura;origem;acesso
dfp/dfp_cia_aberta_2022.zip;13448893;ac08f4150eb413e4f9a55969e3162dd543a6a18b0d54c4348fdcaa1864f57d7b;2026-09-24T12:16:30;2026-09-25;;
dfp/dfp_cia_aberta_2023.zip;13563198;519a0317ae339336fdeabbb9503d31ca5cea566415c8ede1f92a5ba29cecec53;2026-09-24T12:16:32;2026-09-25;;
dfp/dfp_cia_aberta_2024.zip;13396367;60c39dc5f4da831c6dd3592236314d12a04ea9c0d883cf168af6fd817730a949;2026-09-24T12:16:34;2026-09-25;;
dfp/dfp_cia_aberta_2025.zip;12753312;875d26dd69d17251aa19e272dd9c93dcd23d95fea73e0a14b0e6df9b85dc0c92;2026-09-24T12:16:35;2026-09-25;;
dfp/dfp_cia_aberta_2026.zip;217658;b277f218b4d5df1046db3a2b1eb5981f0faf627eb4602ff7182232035af486be;2026-09-24T12:16:37;2026-09-25;;
fca/fca_cia_aberta_2010.zip;337720;9a9b933fa02c96f7cf632dbb1f7b004bb78696c81c989792b1eb60f70b001021;2026-09-25T12:24:50;2026-09-25;;
fca/fca_cia_aberta_2011.zip;381161;f5c7aaa2a4464b4232a05d77c288d33bca5474edd72199a9295d6fa2a34012e8;2026-09-25T12:24:52;2026-09-25;;
fca/fca_cia_aberta_2012.zip;381058;ba68b8e8c12b74fc56bf76a75ae582aa53e5adef1d61d940d5191c55b9be2e06;2026-09-25T12:24:53;2026-09-25;;
fca/fca_cia_aberta_2013.zip;373007;d62ef489d8c1208ef3d41cfd25a093b8fcb5f6b47640e59288aece45d4962cce;2026-09-25T12:24:55;2026-09-25;;
fca/fca_cia_aberta_2014.zip;384748;1f70b5e3a544535affb47b04a0c60a618bef872bc783e6909940d2e7dad89e3f;2026-09-25T12:24:56;2026-09-25;;
fca/fca_cia_aberta_2015.zip;380898;74326a566c405d703b56af257c9fade687f112f372ae68b8624719becc8215f2;2026-09-25T12:24:58;2026-09-25;;
fca/fca_cia_aberta_2016.zip;376154;229b2cfc8c0ac5e60083932381364bbdb6666f028422c13a1ac5f6dccc9e3e6c;2026-09-25T12:24:59;2026-09-25;;
fca/fca_cia_aberta_2017.zip;375132;48127cf15d8baf4d31b9544b266f9511962db158d591fc9803e335a8ab081d45;2026-09-25T12:25:00;2026-09-25;;
fca/fca_cia_aberta_2018.zip;381642;b20056b00927c5261ba587b668e52e4cdfe2d989e7d794491b2bb127fbd0a8cd;2026-09-25T12:25:02;2026-09-25;;
fca/fca_cia_aberta_2019.zip;371770;09f84e5f5485217c8b36f8379c36f718dbdcd6d6908b4e96b68861394e76fe97;2026-09-25T12:25:03;2026-09-25;;
fca/fca_cia_aberta_2020.zip;405892;ccf2ac081747da9ccefa50349a5494c263763d5dd8bb961565fd2ae64c264b20;2026-09-25T12:25:05;2026-09-25;;
fca/fca_cia_aberta_2021.zip;465704;65ba4b0225e9b2106901cdf348215933be8affba79925fc71361e2f6818c7999;2026-09-25T12:25:06;2026-09-25;;
fca/fca_cia_aberta_2022.zip;458286;3c509c919b4f335363681b6ab6fb17c5b6e3595e721b144502df89911ea12e11;2026-09-25T12:25:08;2026-09-25;;
fca/fca_cia_aberta_2023.zip;434044;ced6b486861d00cba54c6af5137519a2c9b8afae79ad52d443a7e30c5c898130;2026-09-25T12:25:09;2026-09-25;;
fca/fca_cia_aberta_2024.zip;392000;99d4dc3178e1b95d929aa71fbe2422ded210607d703c8bac1cc00e5a63458b86;2026-09-25T12:25:10;2026-09-25;;
fca/fca_cia_aberta_2025.zip;383620;9391f667044c45d1bb7d109808e93a61ca554e5d0b108969fa8b3cfcab003bf9;2026-09-25T12:25:12;2026-09-25;;
fca/fca_cia_aberta_2026.zip;360841;3c6d8a0ca5f07f18761d603feaf320e7a1acecbb2663872f6a9cabc6b9e218e1;2026-09-25T12:25:13;2026-09-25;;
itr/_snapshots/itr_cia_aberta_2022__v20260913__f12fabc4842f.zip;32324776;f12fabc4842f57f894e339f0e8d8d7a7d5beffecff3cc752b1fdf2d2028ba604;2026-09-18T12:16:16;2026-09-25;;
itr/_snapshots/itr_cia_aberta_2023__v20260913__4f1245cb25b6.zip;32350672;4f1245cb25b69d113140a4019c70d69cd88f5b08dd9f1f88eef46b3cdfe651dc;2026-09-18T12:16:13;2026-09-25;;
itr/_snapshots/itr_cia_aberta_2024__v20260830__6c3de85aab2d.zip;32723942;6c3de85aab2d1ccb6611d37baf9937de70d80c7af1dcae5b6634404b36fea899;2026-09-04T11:25:58;2026-09-25;;
itr/_snapshots/itr_cia_aberta_2024__v20260913__5082a00a99a2.zip;32723961;5082a00a99a2779e2d61e5bfc6c70393d4c6b321468bd54843b71be90b627719;2026-09-18T12:16:10;2026-09-25;;
itr/_snapshots/itr_cia_aberta_2025__v20260914__1eecb6aeccf0.zip;31660221;1eecb6aeccf0333bd8cdf67ea98ee23a4f484dc772b4eed2ccbf12e517b36386;2026-09-18T12:16:08;2026-09-25;;
itr/_snapshots/itr_cia_aberta_2026__v20260913__58794253b883.zip;19597776;58794253b8837e1b6a5bbd2025f983241bde19d15955a85e5937c2112757fef8;2026-09-18T12:16:04;2026-09-25;;
itr/itr_cia_aberta_2011.zip;24581120;11f0d8cc47bad618a6e705a4615f8444d652967cc210dd29af8d18cad11b2a9a;2026-09-18T12:16:49;2026-09-25;;
itr/itr_cia_aberta_2012.zip;24650791;f1d642a1a644e2528ae96c7963e6319a87537d083d003f965cee637ff9d39842;2026-09-04T11:25:50;2026-09-25;;
itr/itr_cia_aberta_2013.zip;24514311;a336c9d5d5f2e4650bf2c16a80600daf3a423d7bbcd594f1d8dd94bf12f148ea;2026-09-18T12:16:43;2026-09-25;;
itr/itr_cia_aberta_2014.zip;24468760;c10271ea978a7da9c0fb2ef57d6b485dc9eb8032c0634479d8f4afa90ba0ead9;2026-09-18T12:16:40;2026-09-25;;
itr/itr_cia_aberta_2015.zip;24295580;2755f06e74668144620b4265e59db8149284252a1b3a5bb6404c0db22b21c64b;2026-09-18T12:16:33;2026-09-25;;
itr/itr_cia_aberta_2016.zip;23803768;3c2954a0d7e2c4c1c6dec157134e959fd0dea0ba53001d4bab01d04727d67c21;2026-09-18T12:16:31;2026-09-25;;
itr/itr_cia_aberta_2017.zip;24127956;f2e626260461ec4e04614d32212ca8dc5a1be7c5b56c261343eb8866c9ed5f26;2026-09-18T12:16:28;2026-09-25;;
itr/itr_cia_aberta_2018.zip;23460448;a551278c83e5c0584edd2a29b6035e34e833176176827e3f04a28f8373df536b;2026-09-18T12:16:26;2026-09-25;;
itr/itr_cia_aberta_2019.zip;24435666;dbfe1e32296563a9efdcb993ed5811876e3d50b778bc547fe004af15b9a75021;2026-09-04T11:25:54;2026-09-25;;
itr/itr_cia_aberta_2020.zip;27151708;4ca11b431eb21aa98f813a3c18086ca600f234f5eb0dcec0c51a8641fccbca0a;2026-09-18T12:16:20;2026-09-25;;
itr/itr_cia_aberta_2021.zip;31230595;c8723d5ccd4a6e99e9bc1566f2a558139cee1c2d96e4b940c4bcbedcb46a173a;2026-09-18T12:16:20;2026-09-25;;
itr/itr_cia_aberta_2022.zip;32324776;840f1d539a2581e9ef7c1624cfdbb5294745cfe6379d6410e04a4035163022a9;2026-09-24T12:16:42;2026-09-25;;
itr/itr_cia_aberta_2023.zip;32350772;8e86d000cdf95b1e2dc3fbafe4e9c31d9ac4a9242327be384cfe362ff3ba1c15;2026-09-24T12:16:45;2026-09-25;;
itr/itr_cia_aberta_2024.zip;32723940;b9e8dccc9a4435cd0e713186a6b4fd8ccb884245979de5e82c5d82bb71fbe065;2026-09-24T12:16:49;2026-09-25;;
itr/itr_cia_aberta_2025.zip;31660219;4a996a7422d155f3d3eeaf832655a99ecb9d4e81a0ec7bfb5db45d98e34f1e40;2026-09-24T12:16:54;2026-09-25;;
itr/itr_cia_aberta_2026.zip;19597776;4f89a9987303984a78ebae31b09ca2be8f7ba2445078120cb9a8d6f84934b253;2026-09-24T12:16:58;2026-09-25;;
